书名,评分,链接
红楼梦,9.6,https://book.douban.com/subject/1007305/
活着,9.4,https://book.douban.com/subject/4913064/
1984,9.4,https://book.douban.com/subject/4820710/
百年孤独,9.3,https://book.douban.com/subject/6082808/
三体全集,9.4,https://book.douban.com/subject/6518605/
飘,9.3,https://book.douban.com/subject/1068920/
哈利·波特,9.7,https://book.douban.com/subject/24531956/
三国演义（全二册）,9.3,https://book.douban.com/subject/1019568/
房思琪的初恋乐园,9.2,https://book.douban.com/subject/27614904/
动物农场,9.3,https://book.douban.com/subject/2035179/
福尔摩斯探案全集（上中下）,9.3,https://book.douban.com/subject/1040211/
白夜行,9.1,https://book.douban.com/subject/10554308/
小王子,9.0,https://book.douban.com/subject/1084336/
天龙八部,9.1,https://book.douban.com/subject/1255625/
安徒生童话故事集,9.2,https://book.douban.com/subject/1046209/
撒哈拉的故事,9.2,https://book.douban.com/subject/1060068/
杀死一只知更鸟,9.2,https://book.douban.com/subject/6781808/
呐喊,9.0,https://book.douban.com/subject/1449351/
明朝那些事儿（1-9）,9.1,https://book.douban.com/subject/3674537/
沉默的大多数,9.1,https://book.douban.com/subject/1054685/
局外人,9.0,https://book.douban.com/subject/4908885/
中国历代政治得失,9.2,https://book.douban.com/subject/1003479/
失踪的孩子,9.2,https://book.douban.com/subject/30172069/
新名字的故事,9.1,https://book.douban.com/subject/26986954/
人类简史,9.1,https://book.douban.com/subject/25985021/
